status,relative_path,label,filename_label,sha256,width,height,mode,format,reason
valid,0/zimage_topdown_v1_digit0_000.png,0,0,60f250fd989e6d92d3794f4a598e81884639ee37a7277001e2172a3fef509589,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_001.png,0,0,2b86f6fa7194f457b3f654076422258d56fff33e54fcc19d020285af848a5de5,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_002.png,0,0,85a17e21e3831281514c8769ef7eda8353b5061fa86987e167e1487df0694c39,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_003.png,0,0,acb2b6ac3ecda7b7791bb2a8b50e46fe69c06515c645d58d838d994ed7d8ef01,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_004.png,0,0,b71fc2c496114eb02138cbf2fb522295e3cdc2dc07ec759685a0b17232084144,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_005.png,0,0,1bf290f37db03c1a7036fc099d3328470dabc61c2375696df41c89cd49188df6,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_006.png,0,0,e025b0aefa945d534c59e45c38cfed0d11ddd2ca4075c1f87406b05a8c8e29ad,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_007.png,0,0,f50e2fa1a881772c24adb5b714c5c34ec3897499ec18ff852fe72e03383a788d,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_008.png,0,0,ed5afe4f4ea7afd9d1ab93fbf4dc4e3370e6c62dfde128c14b12c8f2ee43583a,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_009.png,0,0,352a8d537db712a4d04de041b4588d6deda0801ca0facb0e3ab6605810e359c3,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_010.png,0,0,052874899bba5daa71ce0b13d813088f4b5e7fe0046ae15398ec572996b17326,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_011.png,0,0,c007420aa865f73d9def36967429dbe26eb9fe357d02694a2b7c544524474682,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_012.png,0,0,254325c3e5515b0ced2de41dc2b78cb9355c8aaa2b1496a27f4b930f8b0f7882,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_013.png,0,0,650b2bd5df9aea0c2c01004388fae09b5d4a65d15301d1bb8e05b179da9e645a,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_014.png,0,0,f7d1453b8d6026c0b264c02eb4c6b856e55e0548a23cdb0c1aa0997f495fc49d,760,1280,RGB,PNG,
valid,0/zimage_topdown_v1_digit0_015.png,0,0,6dc8f8b56bb73f780d7910d570afae09bbb87f7f9abd2443b4bc380801469eb2,760,1280,RGB,PNG,
